'OnlyDate','errors','numIds'
'2023-09-12','31','21'
'2023-09-13','26','19'
'2023-09-14','28','23'
'2023-09-15','24','17'
'2023-09-16','11','10'
'2023-09-17','13','6'
'2023-09-18','58','49'
'2023-09-19','46','28'
'2023-09-20','18','16'
'2023-09-21','20','17'
'2023-09-22','43','21'
'2023-09-23','43','8'
'2023-09-24','28','7'
'2023-09-25','53','30'
'2023-09-26','52','26'
'2023-09-27','36','22'
'2023-09-28','27','22'
'2023-09-29','59','25'
'2023-09-30','47','19'
'2023-10-01','35','16'
'2023-10-02','55','26'
'2023-10-03','59','25'
'2023-10-04','62','26'
'2023-10-05','82','19'
'2023-10-06','41','20'
'2023-10-07','43','17'
'2023-10-08','54','14'
'2023-10-09','91','31'
'2023-10-10','137','20'
'2023-10-11','141','25'
'2023-10-12','110','14'
'2023-10-13','91','24'
'2023-10-14','76','14'
'2023-10-15','51','10'
'2023-10-16','41','13'
'2023-10-17','38','18'
'2023-10-18','43','17'
'2023-10-19','54','22'
'2023-10-20','38','18'
'2023-10-21','29','13'
'2023-10-22','27','9'
'2023-10-23','87','64'
'2023-10-24','133','63'
'2023-10-25','95','76'
'2023-10-26','137','105'
'2023-10-27','45','29'
'2023-10-28','37','15'
'2023-10-29','21','8'
'2023-10-30','32','17'
'2023-10-31','36','18'
'2023-11-01','21','8'
'2023-11-02','98','71'
'2023-11-03','78','32'
'2023-11-04','35','8'
'2023-11-05','36','14'
'2023-11-06','46','19'
'2023-11-07','53','36'
'2023-11-08','91','64'
'2023-11-09','28','11'
'2023-11-10','63','39'
'2023-11-11','31','9'
'2023-11-12','40','10'
'2023-11-13','34','20'
'2023-11-14','38','16'
'2023-11-15','29','12'
'2023-11-16','32','15'
'2023-11-17','30','11'
'2023-11-18','21','6'
'2023-11-19','51','19'
'2023-11-20','28','11'
'2023-11-21','42','19'
'2023-11-22','27','9'
'2023-11-23','39','11'
'2023-11-24','38','20'
'2023-11-25','18','6'
'2023-11-26','21','7'
'2023-11-27','52','35'
'2023-11-28','55','38'
'2023-11-29','47','26'
'2023-11-30','49','34'
'2023-12-01','16','5'
'2023-12-02','20','6'
'2023-12-03','19','5'
'2023-12-04','67','55'
'2023-12-05','88','63'
'2023-12-06','28','14'
'2023-12-07','27','10'
'2023-12-08','23','10'
'2023-12-09','30','15'
'2023-12-10','32','7'
'2023-12-11','50','27'
'2023-12-12','56','15'
'2023-12-13','66','19'
'2023-12-14','41','21'
'2023-12-15','68','7'
'2023-12-16','51','9'
'2023-12-17','44','16'
'2023-12-18','64','29'
'2023-12-19','59','28'
'2023-12-20','50','25'
'2023-12-21','35','19'
'2023-12-22','99','48'
'2023-12-23','23','9'
'2023-12-24','23','8'
'2023-12-25','37','12'
'2023-12-26','28','9'
'2023-12-27','34','16'
'2023-12-28','43','14'
'2023-12-29','42','15'
'2023-12-30','23','4'
'2023-12-31','26','9'
'2024-01-01','25','5'
'2024-01-02','34','17'
'2024-01-03','68','47'
'2024-01-04','42','27'
'2024-01-05','20','9'
'2024-01-06','16','5'
'2024-01-07','21','6'
'2024-01-08','37','20'
'2024-01-09','50','30'
'2024-01-10','37','21'
'2024-01-11','55','38'
'2024-01-12','37','23'
'2024-01-13','25','11'
'2024-01-14','21','8'
'2024-01-15','70','54'
'2024-01-16','67','46'
'2024-01-17','55','42'
'2024-01-18','69','47'
'2024-01-19','51','32'
'2024-01-20','46','18'
'2024-01-21','32','12'
'2024-01-22','37','16'
'2024-01-23','52','18'
'2024-01-24','57','24'
'2024-01-25','63','34'
'2024-01-26','56','22'
'2024-01-27','58','18'
'2024-01-28','37','13'
'2024-01-29','35','16'
'2024-01-30','63','13'
'2024-01-31','45','21'
'2024-02-01','53','28'
'2024-02-02','61','20'
'2024-02-03','40','13'
'2024-02-04','38','13'
'2024-02-05','54','26'
'2024-02-06','42','18'
'2024-02-07','50','22'
'2024-02-08','32','11'
'2024-02-09','41','15'
'2024-02-10','22','6'
'2024-02-11','24','10'
'2024-02-12','24','6'
'2024-02-13','38','22'
'2024-02-14','19','8'
'2024-02-15','37','16'
'2024-02-16','45','15'
'2024-02-17','26','9'
'2024-02-18','38','9'
'2024-02-19','42','18'
'2024-02-20','157','24'
'2024-02-21','271','24'
'2024-02-22','387','26'
'2024-02-23','399','15'
'2024-02-24','373','13'
'2024-02-25','397','12'
'2024-02-26','368','33'
'2024-02-27','286','22'
'2024-02-28','362','14'
'2024-02-29','300','15'
'2024-03-01','372','31'
'2024-03-02','340','14'
'2024-03-03','312','12'
'2024-03-04','297','22'
'2024-03-05','322','18'
'2024-03-06','377','22'
'2024-03-07','391','21'
'2024-03-08','415','21'
'2024-03-09','436','15'
'2024-03-10','344','13'
'2024-03-11','376','17'
'2024-03-12','352','24'
'2024-03-13','192','23'
'2024-03-14','222','33'
'2024-03-15','223','34'
'2024-03-16','234','17'
'2024-03-17','315','12'
'2024-03-18','375','14'
'2024-03-19','403','18'
'2024-03-20','408','33'
'2024-03-21','424','20'
'2024-03-22','413','37'
'2024-03-23','361','17'
'2024-03-24','477','15'
'2024-03-25','129','37'
'2024-03-26','79','60'
'2024-03-27','29','13'
'2024-03-28','31','15'
'2024-03-29','39','18'
'2024-03-30','31','12'
'2024-03-31','30','12'
'2024-04-01','32','12'
'2024-04-02','49','27'
'2024-04-03','39','18'
'2024-04-04','48','27'
